coords,x,y,likelihood,x,y,likelihood,,,,
0,497.5999451,595.7087402,0.999393463,493.7073669,607.3375854,0.996403098,270,445,267,715
1,497.5999451,595.8446045,0.999437511,493.7073669,607.4604492,0.996801615,,,,
2,497.5999451,595.9034424,0.999471545,493.7172241,607.4604492,0.996840775,,,,
3,497.5447693,596.0586548,0.999470949,493.7073669,607.6102905,0.997133732,,,,
4,497.4441833,595.9034424,0.999447465,493.6338806,607.4578857,0.99685514,,,,
5,497.4164734,595.9034424,0.999431133,493.467926,607.5109863,0.99714011,,,,
6,497.3587341,595.9000244,0.99940908,493.467926,607.5109863,0.996841669,,,,
7,497.3500671,595.6170654,0.999394894,493.467926,607.5239258,0.997009277,,,,
8,497.3587341,595.614624,0.999444604,493.486084,607.5109863,0.996981382,,,,
9,497.3587341,595.6170654,0.999475241,493.4856567,607.5239258,0.997672319,,,,
10,497.4098206,595.7522583,0.999444366,493.486084,607.5239258,0.997068524,,,,
11,497.4098206,595.664917,0.999424636,493.486084,607.5344849,0.996988773,,,,
12,497.4098206,595.7207031,0.999410272,493.4856567,607.5933838,0.996919632,,,,
13,497.224823,595.7207031,0.99951303,493.3355713,607.5933838,0.997864723,,,,
14,497.1238403,595.7207031,0.999443889,493.3355713,607.5933838,0.997481048,,,,
15,497.0724182,595.664917,0.999548078,493.2565613,607.6176758,0.998022795,,,,
16,497.0621948,595.7112427,0.999375701,493.3109131,607.5933838,0.997441769,,,,
17,497.0621948,595.5621948,0.999514341,493.3109131,607.5616455,0.997932136,,,,
18,497.0621948,595.664917,0.999506116,493.2907715,607.5616455,0.997814775,,,,
19,497.0621948,595.5467529,0.999521613,493.2907715,607.4603882,0.99796772,,,,
20,497.0506897,595.4957886,0.999544144,493.2940979,607.3612671,0.997913599,,,,
21,497.0144043,595.4957886,0.999476075,493.2907715,607.3612671,0.997546077,,,,
22,497.0144043,595.6025391,0.999464154,493.2940979,607.3612671,0.997844458,,,,
23,497.0144043,595.4957886,0.999456763,493.3084106,607.3612671,0.997671604,,,,
24,497.1264343,595.5426025,0.99936986,493.3148804,607.3612671,0.997651339,,,,
25,497.1264343,595.5726318,0.999518514,493.3148804,607.4016113,0.997763395,,,,
26,497.1264343,595.5663452,0.999423265,493.3148804,607.2944336,0.997141123,,,,
27,496.9468689,595.5663452,0.999494672,493.1495361,607.262207,0.9979949,,,,
28,496.9468689,595.5726318,0.999486864,493.1495361,607.262207,0.997969985,,,,
29,496.8617859,595.6522827,0.999366999,493.1381531,607.2944336,0.997713506,,,,
30,496.8383484,595.6522827,0.999370217,493.1142578,607.2944336,0.997373343,,,,
31,496.7796021,595.6522827,0.999410748,493.0576477,607.262207,0.9979285,,,,
32,496.7796021,595.6601563,0.999352932,493.0576477,607.2008667,0.997772634,,,,
33,496.7796021,595.6719971,0.999382973,493.0384521,607.1838989,0.99782896,,,,
34,496.8015137,595.4933472,0.999311805,493.0384521,607.1708374,0.997279346,,,,
35,496.8015137,595.4802856,0.999319553,492.9755554,607.1708374,0.997933626,,,,
36,496.8819275,595.5629883,0.99929285,493.0480652,607.0309448,0.997380614,,,,
