coords,x,y,likelihood,x,y,likelihood,,,,
0,501.9067078,1.313724995,0.000353307,884.3901978,1029.92749,0.002272129,280,469,281,743
1,501.9067078,1.313724995,0.000201344,899.1912842,1029.92749,0.000513852,,,,
2,898.6604614,1029.079468,0.000272602,899.2264404,1030.624634,0.001398683,,,,
3,899.1107178,1028.555542,0.000551939,899.6403809,1030.624634,0.001491368,,,,
4,899.2532349,1029.079468,0.000385612,899.8787231,1030.302246,0.002007037,,,,
5,899.2532349,1028.555542,0.000353843,899.8787231,1029.779785,0.00182125,,,,
6,899.2532349,1028.555542,0.000390679,899.6555176,1030.302246,0.002362758,,,,
7,772.0372925,224.5154114,0.000382513,899.6555176,1030.302246,0.000586569,,,,
8,501.678833,1.265925884,0.000567406,899.6555176,1030.302246,0.001483679,,,,
9,501.5840759,1.265925884,0.000380158,899.6126099,1030.390747,0.001610607,,,,
10,501.5840759,1.302973032,0.000811845,899.6126099,1030.390747,0.002848625,,,,
11,772.0372925,224.5154114,0.000932008,899.6298218,1030.390747,0.000787437,,,,
12,501.3742676,1.302973032,0.000326663,899.6126099,1030.28418,0.001000762,,,,
13,899.2603149,1028.631836,0.000356823,899.6298218,1030.305176,0.001567125,,,,
14,899.2603149,1028.631836,0.000857413,899.7817383,1030.134277,0.001476139,,,,
15,898.9539795,1029.294922,0.000524431,899.7817383,1030.305054,0.002536923,,,,
16,885.854126,1028.784302,0.00040549,899.5117798,1030.241455,0.000763923,,,,
17,885.854126,1028.784302,0.000607401,899.7817383,1030.305054,0.005706131,,,,
18,885.854126,1028.784302,0.000401944,899.5891113,1030.305054,0.001981348,,,,
19,898.9263916,1028.804199,0.000635922,899.5891113,1030.305054,0.001798868,,,,
20,885.854126,1028.784302,0.00049606,899.5891113,1030.341064,0.003611743,,,,
21,501.8143005,1.430493832,0.000264049,899.7956543,1030.341064,0.000988305,,,,
22,501.8143005,1.17784977,0.000707805,899.7999878,1030.24353,0.00171122,,,,
23,501.8143005,1.17784977,0.000169814,900.0355835,1030.176025,0.000298589,,,,
24,501.5572815,1.17784977,0.000502855,900.0631104,1030.176025,0.001796871,,,,
25,501.5863647,1.13734746,0.00034219,900.0631104,1030.176025,0.001020491,,,,
26,501.5572815,1.244231224,0.000453204,900.0631104,1030.24353,0.000416607,,,,
27,501.5863647,1.306331635,0.000428289,899.9577026,1030.176025,0.000620276,,,,
28,501.5863647,1.306331635,0.001171649,899.8984985,1030.114258,0.001786411,,,,
29,501.5863647,1.35970211,0.000381321,899.8984985,1030.114258,0.001270533,,,,
30,501.634491,1.40903616,0.000229597,899.9577026,1030.114258,0.000476748,,,,
31,755.8650513,1028.303345,0.000500858,900.031311,1030.114258,0.001814574,,,,
32,899.7506714,1028.841431,0.00049451,900.0765991,1030.119751,0.002776533,,,,
33,899.7506714,1028.841431,0.000578701,900.4573364,1030.157471,0.002101153,,,,
34,899.7506714,1028.841431,0.000390321,900.0765991,1030.498535,0.001535654,,,,
35,899.281189,1028.656616,0.000706822,900.031311,1030.498535,0.001297355,,,,
36,772.8909912,226.7245636,0.000471443,900.0765991,1030.498535,0.001209557,,,,
