coords,x,y,likelihood,x,y,likelihood,,,,
0,537.036499,585.0029907,0.999268115,530.201355,598.5626221,0.999185205,194,454,192,710
1,537.036499,585.0372314,0.999267101,530.2518311,598.6586914,0.999140918,,,,
2,537.036499,585.0372314,0.999151468,530.2932739,598.6586914,0.9991436,,,,
3,536.9915771,585.027832,0.99921608,530.3837891,598.5626221,0.99914515,,,,
4,536.9603271,585.027832,0.99901402,530.3837891,598.1710205,0.999205709,,,,
5,536.9313354,585.1062622,0.999018073,530.3837891,598.1710205,0.999246001,,,,
6,536.8829346,585.1201172,0.999083519,530.2890625,598.1694946,0.999172091,,,,
7,536.7085571,585.1522217,0.999157667,530.2268677,598.1433716,0.999204814,,,,
8,536.6627197,585.1999512,0.999134779,529.9996338,598.1004028,0.999217868,,,,
9,536.4370117,585.2058105,0.999068022,529.6444092,597.697998,0.999184072,,,,
10,536.361084,585.1999512,0.99903965,529.6444092,597.697998,0.999237776,,,,
11,536.2854004,585.1999512,0.999056578,529.6444092,597.697998,0.999230027,,,,
12,536.2854004,585.1838379,0.999161601,530.0899658,597.8605347,0.999296308,,,,
13,536.2603149,585.1838379,0.999137163,530.4639282,597.8605347,0.999251842,,,,
14,536.2603149,585.1838379,0.999121785,530.5357666,597.8605347,0.999242485,,,,
15,536.1090698,585.300415,0.999142349,530.5454712,597.8605347,0.999249697,,,,
16,536.0778809,585.3140869,0.999072313,531.0211182,597.8605347,0.999248743,,,,
17,536.0081787,585.3239746,0.999087095,531.3752441,598.0054932,0.999222994,,,,
18,535.9580078,585.3320923,0.999110222,531.4555054,598.1300049,0.99919796,,,,
19,535.9476318,585.390625,0.999094009,531.5944214,598.1692505,0.99917835,,,,
20,535.9136963,585.4269409,0.999125898,531.6054688,598.1803589,0.99917829,,,,
21,535.9052734,585.4379272,0.9991678,531.6054688,598.2521973,0.999187231,,,,
22,535.8766479,585.4379272,0.999204159,531.6054688,598.288208,0.999208391,,,,
23,535.8766479,585.4363403,0.999232054,531.4460449,598.3349609,0.999207973,,,,
24,535.8477783,585.4363403,0.999270439,531.3972778,598.4036255,0.999220014,,,,
25,535.803833,585.3056641,0.99931109,531.3811646,598.5125122,0.999260664,,,,
26,535.7681274,585.2869263,0.99932307,531.3762817,598.5125122,0.999246478,,,,
27,535.7652588,585.2869263,0.999338865,531.2924805,598.5125122,0.999276638,,,,
28,535.7264404,585.3056641,0.999307394,531.2710571,598.546875,0.999243617,,,,
29,535.7264404,585.2869263,0.999319911,531.1878662,598.5414429,0.999257267,,,,
30,535.7501831,585.2869263,0.999332786,531.1878662,598.5067139,0.999266982,,,,
31,535.7501831,585.288147,0.999318123,531.1810913,598.5067139,0.99927026,,,,
32,535.770752,585.288147,0.999298573,531.1586914,598.447937,0.999279976,,,,
33,535.770752,585.286377,0.999284148,531.1280518,598.302124,0.999277472,,,,
34,535.7761841,585.286377,0.999257803,531.1280518,598.182373,0.999253273,,,,
35,535.7970581,585.286377,0.999246836,531.1280518,598.1019287,0.999259531,,,,
36,535.8203125,585.2487183,0.999211669,531.1439819,598.0600586,0.999272704,,,,
37,535.8543091,585.2086182,0.999161243,531.2041016,597.9545898,0.999307811,,,,
38,535.8577271,585.1375122,0.99911499,531.3990479,597.9545898,0.999312997,,,,
39,535.8577271,584.993103,0.999076545,531.557312,597.9545898,0.999335945,,,,
40,535.8577271,584.677124,0.9990412,531.557312,598.1002808,0.99936831,,,,
41,535.574585,583.9393311,0.99918437,531.557312,598.3027954,0.999377608,,,,
42,535.4976807,583.9393311,0.999256432,531.538269,598.5777588,0.999372303,,,,
43,535.4804077,583.9393311,0.999289632,531.465332,598.7838745,0.999340653,,,,
44,535.4388428,584.0383911,0.999346435,531.465332,598.838562,0.999330342,,,,
45,535.2904663,584.1138916,0.999389827,531.465332,599.020752,0.999309599,,,,
46,535.3344727,584.7844849,0.999400318,531.4871216,599.020752,0.999271512,,,,
47,535.3344727,584.7993774,0.999363065,531.6079102,599.020752,0.999302685,,,,
48,535.3344727,585.2761841,0.999313056,531.6947632,598.8632813,0.999290824,,,,
49,535.3849487,585.2761841,0.999236882,531.7526855,598.68396,0.999308884,,,,
50,535.4911499,585.2761841,0.999147475,531.920166,598.2771606,0.99935019,,,,
51,535.4911499,585.2761841,0.999108315,532.34552,598.2711792,0.99936372,,,,
52,535.4911499,585.2370605,0.99905014,532.6069336,598.2554932,0.99938345,,,,
53,535.4788208,585.1304932,0.998922706,532.6781616,597.9707642,0.999299765,,,,
54,535.4911499,585.0232544,0.998769701,532.6781616,597.5883789,0.999319434,,,,
55,535.4788208,584.8735352,0.998636961,532.69104,597.5883789,0.999329925,,,,
56,535.3602905,584.7737427,0.998675466,532.7644653,597.5883789,0.99931705,,,,
57,534.897522,584.3537598,0.998784542,532.8953247,597.9436035,0.999425292,,,,
58,534.8792725,584.1171875,0.998942554,533.1586304,597.9825439,0.999397635,,,,
59,534.8632813,583.9173584,0.999119699,533.3905029,598.0458374,0.999425948,,,,
60,534.8632813,583.6852417,0.999229133,533.5027466,598.1913452,0.999450743,,,,
61,534.8792725,583.4341431,0.999372661,533.6511841,598.2175293,0.999462962,,,,
62,534.9845581,583.0878296,0.999467432,533.6937256,598.2492065,0.999495864,,,,
63,535.0661011,582.9064941,0.999476671,533.6937256,598.2492065,0.999514163,,,,
64,535.0661011,582.8603516,0.999479294,533.6835327,598.2492065,0.999509931,,,,
65,535.0661011,582.8603516,0.999494314,533.6835327,598.0910645,0.999534011,,,,
66,535.0645752,582.8603516,0.999450684,533.6835327,598.03479,0.999509811,,,,
67,534.9883423,582.888855,0.99947387,533.6507568,598.006897,0.999495149,,,,
68,534.977356,582.888855,0.99938941,533.6500244,597.8115845,0.999471426,,,,
69,534.977356,582.888855,0.999295831,533.6472778,597.7943726,0.999428272,,,,
70,534.977356,582.9945679,0.999305844,533.6362915,597.6561279,0.999426484,,,,
71,534.977356,582.9783325,0.999328375,533.6362915,597.4623413,0.999428749,,,,
72,534.9978027,582.8303833,0.999300241,533.6472778,597.4623413,0.999415576,,,,
73,535.0504761,582.7418213,0.999331236,533.9688721,597.3407593,0.99938035,,,,
74,535.1171875,582.6482544,0.99937582,534.1327515,597.328186,0.999382377,,,,
75,535.1171875,582.1782837,0.999377847,534.1327515,597.328186,0.999357224,,,,
76,535.1171875,582.0230103,0.999430597,534.1327515,597.2606201,0.999358416,,,,
77,535.0879517,581.7583008,0.999493003,534.2115479,596.930542,0.99938339,,,,
78,535.0474243,581.5003662,0.999524474,534.2115479,596.822998,0.999370337,,,,
79,535.0031738,581.2006836,0.999540925,534.2115479,596.6552124,0.999364018,,,,
80,535.0031738,581.1047974,0.999533892,534.5028687,596.522644,0.999320984,,,,
81,535.0474243,581.0977783,0.999534845,534.65979,596.4741821,0.99928081,,,,
82,535.0474243,581.0150146,0.999549031,534.65979,596.4725342,0.99927783,,,,
83,535.0031738,581.0150146,0.999554634,534.65979,596.3755493,0.999284029,,,,
84,534.9971313,580.9654541,0.999670267,534.62854,596.2319336,0.999394238,,,,
85,534.7218628,580.6471558,0.999632418,534.62854,596.0460205,0.999293089,,,,
86,534.7218628,580.6471558,0.999610424,534.62854,595.9830322,0.999132335,,,,
87,534.7218628,580.8338013,0.999561071,534.7946167,595.9391479,0.999018252,,,,
88,534.7913208,580.5344238,0.99926734,534.9439697,595.6304932,0.998703003,,,,
89,534.8430176,580.4856567,0.999260366,534.9456177,595.3677368,0.998609662,,,,
90,534.8726196,580.479126,0.999316692,534.9439697,595.3530273,0.998506904,,,,
91,534.8726196,580.4562378,0.999347448,534.7946167,595.321167,0.998413265,,,,
92,534.8430176,580.1905518,0.999465406,534.8300171,595.1348267,0.998885393,,,,
93,534.7911987,579.4521484,0.999664068,534.8300171,595.0592041,0.999025881,,,,
94,534.7661743,579.0630493,0.999738693,534.8300171,594.9030762,0.99909991,,,,
95,534.6026611,579.0548706,0.999708176,535.0172729,594.5148926,0.999019265,,,,
96,534.6026611,579.0298462,0.999713659,535.1202393,594.3985596,0.999013245,,,,
97,534.7252808,578.9828491,0.999730349,535.1202393,594.3187866,0.999096513,,,,
98,534.7252808,578.6499634,0.999754667,535.0172729,594.2938843,0.999135137,,,,
99,534.838562,578.5335693,0.999719501,535.1393433,594.0078735,0.999017596,,,,
100,534.838562,578.3365479,0.999725103,535.1673584,593.7983398,0.9989748,,,,
101,534.838562,578.2994385,0.999714255,535.1673584,593.6497192,0.998837173,,,,
102,534.7929077,578.2128906,0.999714732,535.1928711,593.5802002,0.998794794,,,,
103,534.7559204,578.208374,0.999694109,535.1928711,593.5581665,0.998779118,,,,
104,534.7249146,578.0609131,0.999748349,535.2311401,593.5335083,0.998904228,,,,
105,534.7249146,577.9277954,0.999775529,535.2311401,593.4196167,0.999008656,,,,
106,534.7249146,577.6537476,0.999780238,535.3095093,593.3632813,0.99905318,,,,
107,534.7359619,577.3936157,0.999763727,535.4282837,592.9832153,0.999001741,,,,
108,534.7359619,577.267334,0.999726653,535.4350586,592.7966919,0.998892784,,,,
109,534.7359619,577.1495361,0.99973619,535.4468994,592.7387085,0.99888134,,,,
110,534.6305542,577.0635376,0.999754429,535.473877,592.6520386,0.998804092,,,,
111,534.5852051,576.8331299,0.999738693,535.4960938,592.5456543,0.998604178,,,,
112,534.5523682,576.739624,0.999721229,535.5180664,592.4252319,0.998557866,,,,
113,534.4329834,576.6553955,0.99970305,535.6913452,592.0223389,0.998411179,,,,
114,534.4329834,576.4646606,0.999683022,535.8414917,591.7581787,0.997962832,,,,
115,534.4329834,576.3406372,0.999697208,535.9624634,591.5789185,0.998071194,,,,
116,534.4727783,576.1323242,0.999704599,536.1173096,591.4770508,0.99833703,,,,
117,534.4727783,575.928894,0.999659896,536.1173096,591.427063,0.998118222,,,,
118,534.4727783,575.8760376,0.99963057,536.1173096,591.2443848,0.997879207,,,,
119,534.4447021,575.7225342,0.999563694,536.1193848,590.7438354,0.997380495,,,,
120,534.2576904,575.5800171,0.999508619,536.0715942,590.3568115,0.996511757,,,,
121,534.1317749,575.2127686,0.999478102,536.0715942,590.0501709,0.995762348,,,,
122,534.1055298,574.991272,0.999433517,536.0715942,590.0289307,0.996170402,,,,
123,534.1317749,574.855835,0.999402761,536.2973022,589.3560181,0.994966388,,,,
124,534.2487183,574.8551636,0.999376059,536.2973022,589.2999878,0.994724214,,,,
125,534.2487183,574.208374,0.999065638,536.3457642,589.1377563,0.995152473,,,,
126,534.3875732,573.9320679,0.998714924,536.5612793,589.043335,0.99467504,,,,
127,534.7497559,573.1152954,0.998771906,536.8474121,588.6539917,0.995173633,,,,
128,534.9920044,572.6955566,0.998876572,536.8474121,587.6478882,0.99513334,,,,
129,535.1200562,572.6697388,0.998963594,536.8474121,587.5960083,0.995457292,,,,
130,535.1200562,572.1027832,0.999211431,536.4530029,587.5745239,0.995939851,,,,
131,535.2549438,571.9284668,0.999248862,536.3151855,587.4460449,0.995991707,,,,
132,535.3977051,571.7904663,0.999251723,536.2188721,587.2739868,0.995898604,,,,
133,535.3977051,571.7807007,0.999200642,536.2188721,586.9458618,0.995561838,,,,
134,535.3977051,571.7807007,0.999149501,536.3171997,586.3320923,0.994556069,,,,
135,535.2375488,570.9574585,0.999310434,536.3171997,586.2143555,0.996151209,,,,
136,535.0394287,570.7432251,0.999279916,536.7278442,586.1207886,0.996395111,,,,
137,535.0147705,570.6828613,0.999250352,536.7278442,585.6765137,0.997249007,,,,
138,534.9379883,570.6658936,0.999172866,536.8681641,585.5489502,0.997226954,,,,
139,534.6657715,570.3869629,0.999126852,536.8681641,585.0490723,0.997639298,,,,
140,534.0994873,569.9108276,0.99916482,536.8681641,584.6258545,0.998062372,,,,
141,533.6397705,569.5908813,0.999388337,537.4627686,584.3713989,0.998225451,,,,
142,533.631897,569.4953003,0.999447823,537.8048096,584.3632813,0.997971058,,,,
143,533.5288696,569.3644409,0.999500632,537.8048096,584.3190918,0.998016119,,,,
144,533.5056763,569.2601929,0.999542534,537.8206787,584.1956177,0.998122394,,,,
145,533.486145,569.1317749,0.9995718,537.8048096,583.9088745,0.998225331,,,,
146,533.486145,569.0128784,0.999608159,537.7973633,583.78125,0.998536825,,,,
147,533.4952393,568.8917236,0.999613523,537.7058105,583.6611328,0.998638272,,,,
148,533.5056763,568.7620239,0.99963522,537.513855,583.5706787,0.998710752,,,,
149,533.4952393,568.5713501,0.999650896,537.5095215,583.4443359,0.998693705,,,,
150,533.4952393,568.276062,0.999699235,537.5095215,583.4388428,0.99874413,,,,
151,533.4836426,568.0418701,0.999764562,537.5095215,583.3182983,0.998782218,,,,
152,533.359375,567.8934326,0.99975419,537.5095215,583.211853,0.998797417,,,,
153,533.2032471,567.7492065,0.999778509,537.5095215,583.0598755,0.998800218,,,,
154,533.0991211,567.6785278,0.999784648,537.4886475,582.8751221,0.998844564,,,,
155,533.0758057,567.6749878,0.999749303,537.3016357,582.5715942,0.998812497,,,,
156,532.9901123,567.5606079,0.999730349,537.1865845,582.3154907,0.99877274,,,,
157,532.9168091,567.3221436,0.999754429,537.1431885,582.2501221,0.998917282,,,,
158,532.9168091,567.1132813,0.999758124,537.1306152,582.1082764,0.998907804,,,,
159,532.9901123,566.9761353,0.99974376,537.0865479,581.9202881,0.99890101,,,,
160,533.0883789,566.8234253,0.999742746,537.0316162,581.8132935,0.998851001,,,,
161,533.0883789,566.5222168,0.999725223,537.0316162,581.4730225,0.99879843,,,,
162,533.0883789,566.5123291,0.999738216,537.0316162,581.0418701,0.998604536,,,,
163,532.9876709,566.5123291,0.999735057,537.0695801,580.9467163,0.998425841,,,,
164,532.9876709,566.5123291,0.999704599,537.1226196,580.9467163,0.998287916,,,,
165,532.9876709,566.5123291,0.999584198,537.1226196,580.824585,0.998446047,,,,
166,533.1599731,566.5123291,0.999530673,537.0736084,580.7406616,0.998626709,,,,
167,533.1599731,565.7503662,0.999619782,537.0695801,580.6923828,0.998608947,,,,
168,533.1599731,565.0709839,0.999678731,536.9346924,580.0449829,0.998570204,,,,
169,533.0795898,564.8606567,0.999685287,536.7810059,579.6514282,0.998291433,,,,
170,533.0795898,564.7304688,0.999694705,536.7589111,579.5473633,0.998155832,,,,
171,533.0795898,564.0299072,0.999772787,536.7589111,579.4053345,0.99850595,,,,
172,533.1787109,564.0067139,0.999778807,536.6084595,579.2505493,0.998737812,,,,
173,533.1787109,563.4898682,0.99980545,536.6084595,579.3006592,0.99866116,,,,
174,533.1787109,563.4522705,0.999802053,536.6084595,579.2165527,0.998743951,,,,
175,533.0037842,563.3423462,0.99981904,536.7197266,579.2019043,0.998848796,,,,
176,532.5957031,563.1481323,0.999851823,536.8828125,578.7536011,0.99888593,,,,
177,532.173584,562.3873901,0.999848723,536.8828125,578.0615234,0.999004483,,,,
178,532.173584,562.1572266,0.999870896,536.8828125,577.9664307,0.99913305,,,,
179,532.0189819,562.0602417,0.999853551,536.7369995,577.6174927,0.999004722,,,,
180,532.0189819,561.5836182,0.999851823,536.4259033,577.1253052,0.999048769,,,,
181,532.2125854,561.3345337,0.999843836,536.3434448,576.7277222,0.998996615,,,,
182,532.6763916,561.0344849,0.999839902,536.1299438,576.4492188,0.998778939,,,,
183,532.909668,560.9423828,0.999828696,535.963501,576.2529297,0.998824418,,,,
184,532.909668,560.5993042,0.999799013,535.6920166,575.9627075,0.99879992,,,,
185,532.909668,560.5993042,0.999805212,535.5116577,575.8110962,0.998789012,,,,
186,532.8134766,560.5258179,0.999792516,535.5116577,575.4501343,0.998606801,,,,
187,532.6692505,560.5072632,0.999797046,535.5116577,575.3408813,0.998584032,,,,
188,532.6692505,560.3271484,0.999777377,535.7348022,574.9702759,0.99838835,,,,
