coords,x,y,likelihood,x,y,likelihood,,,,
0,705.8216553,531.2365723,0.999804676,713.3905029,542.4603271,0.997472644,329,186,330,447
1,705.8273926,531.4840698,0.999795914,713.4564209,542.4603271,0.996929765,,,,
2,705.8676758,531.49646,0.999778569,713.6032715,542.4603271,0.996776462,,,,
3,705.8676758,531.4840698,0.999806762,713.4891968,542.2098999,0.996136427,,,,
4,705.8676758,531.4645996,0.999761224,713.4891968,542.0128174,0.995577633,,,,
5,705.8676758,531.49646,0.999771595,713.4891968,541.9486694,0.994085014,,,,
6,705.748291,531.49646,0.999806285,713.4891968,541.9486694,0.995951056,,,,
7,705.6535645,531.5887451,0.999782443,713.0952759,541.8340454,0.994175315,,,,
8,705.3670654,531.6409912,0.999804854,713.0952759,541.8340454,0.993777215,,,,
9,705.3526611,531.65979,0.999726772,713.2728882,541.8340454,0.992621183,,,,
10,705.3526611,531.7232666,0.999742448,713.2728882,542.508728,0.992081523,,,,
11,705.2825928,532.0509033,0.999804914,713.4307251,543.2028809,0.995863676,,,,
12,705.2296753,532.0603027,0.99981159,714.0480347,543.2028809,0.996225595,,,,
13,705.1673584,532.197876,0.999841273,714.0480347,543.2028809,0.996455669,,,,
14,705.1520386,532.197876,0.999809742,714.0480347,543.0479736,0.99543798,,,,
15,705.1520386,532.197876,0.99979353,714.0545044,543.0383301,0.994462371,,,,
16,704.9733887,532.2731323,0.999755859,713.8450928,542.8031006,0.994048357,,,,
17,704.7389526,532.2731323,0.999595761,713.8450928,542.5932617,0.988764346,,,,
18,704.6780396,532.1928101,0.999703169,714.0545044,542.5265503,0.991009593,,,,
19,704.3763428,532.2974854,0.999708951,714.0795898,542.1544189,0.991537452,,,,
20,704.3529053,532.2974854,0.99960655,715.0131226,542.0921631,0.992164493,,,,
21,704.3430176,532.4113159,0.999599338,715.2850952,542.0762329,0.99053061,,,,
22,704.1828003,532.4113159,0.999571562,715.2850952,541.8671265,0.989126444,,,,
23,704.0895386,532.4113159,0.999570489,715.0131226,541.7637329,0.990803123,,,,
24,703.9234619,532.4113159,0.999641061,715.0131226,541.7637329,0.992672563,,,,
25,703.8897705,532.1217041,0.999554515,715.0045166,541.7637329,0.991956651,,,,
26,703.8220825,532.1206055,0.999564052,714.5419922,541.7616577,0.992774606,,,,
27,703.8746948,532.1206055,0.999546409,714.0791626,541.6407471,0.991037369,,,,
28,703.8220825,532.1206055,0.99962759,714.5419922,541.6931152,0.992331922,,,,
29,703.7766113,532.1206055,0.999656081,714.5419922,541.6931152,0.995000839,,,,
30,703.5476685,531.9578247,0.999648213,714.5695801,541.6407471,0.993817687,,,,
31,703.5316772,532.2192993,0.999636292,714.5841064,541.6931152,0.994846702,,,,
32,703.3046875,532.2192993,0.999623477,714.6888428,541.6931152,0.994380832,,,,
33,703.2132568,531.8829346,0.99963361,714.6888428,541.6032104,0.995437026,,,,
34,702.9728394,531.836853,0.999649942,714.5841064,541.5810547,0.997362435,,,,
35,702.9006348,531.8068848,0.99952364,714.5783081,541.5810547,0.993281364,,,,
36,702.7904663,531.7184448,0.999613166,714.2183228,541.4188232,0.997594953,,,,
37,702.5703125,531.6337891,0.999594688,714.1192017,541.1226196,0.996738553,,,,
38,702.5703125,531.5621338,0.999554753,713.8979492,540.8845215,0.996581912,,,,
