coords,x,y,likelihood,x,y,likelihood,,,,
0,696.5900269,574.8660889,0.997192144,701.3464355,588.6281738,0.9948318,329,186,330,446
1,696.5900269,574.8672485,0.997244358,701.3464355,588.6513672,0.995104432,,,,
2,696.5900269,574.8816528,0.997353554,701.3464355,588.7011719,0.994948268,,,,
3,696.706665,574.8816528,0.996863186,701.3464355,588.7011719,0.993799448,,,,
4,696.5889282,574.8816528,0.997241735,701.3464355,588.6513672,0.994184911,,,,
5,696.5152588,574.8892822,0.996990561,701.371582,588.5098267,0.994155884,,,,
6,696.5529175,574.8892822,0.996814132,701.371582,588.5072632,0.994322777,,,,
7,696.5889282,574.7981567,0.996957541,701.3936157,588.3800049,0.994288266,,,,
8,696.5889282,574.7981567,0.996710062,701.371582,588.3800049,0.99413234,,,,
9,696.7167969,574.6569824,0.996571422,701.4122314,588.3502197,0.993746638,,,,
10,696.8255005,574.5770264,0.996343672,701.3572998,588.3121948,0.993477225,,,,
11,697.0258179,574.2496948,0.99661839,701.4122314,588.2885132,0.994295776,,,,
12,697.0258179,574.2496948,0.996672511,701.4122314,588.2885132,0.994621038,,,,
13,697.0258179,574.2496948,0.996888161,701.4177856,588.2885132,0.994721353,,,,
14,696.8563843,574.2496948,0.997011304,701.4177856,588.2261963,0.99548918,,,,
15,697.2277222,574.0231934,0.996306896,701.4434204,588.2261963,0.993616104,,,,
16,697.2277222,574.1420288,0.996879518,701.4177856,588.0576172,0.994584084,,,,
17,697.2277222,574.1420288,0.997042537,701.322937,588.0576172,0.994296789,,,,
18,696.5941772,574.7001343,0.997226894,701.322937,588.2261963,0.994487643,,,,
19,696.960083,574.7001343,0.996956348,701.4730835,588.2796021,0.994538426,,,,
20,696.6723022,574.8208008,0.997320414,701.4394531,588.2842407,0.994885683,,,,
21,696.6723022,574.8208008,0.996525466,701.4394531,588.3099365,0.99380672,,,,
22,696.960083,574.7001343,0.997059584,701.4730835,588.3099365,0.994660437,,,,
23,697.3147583,573.8995972,0.997488618,701.4394531,588.3270874,0.995127738,,,,
24,697.3147583,573.8995972,0.996840239,701.3683472,588.3270874,0.994327426,,,,
25,697.3147583,573.8980713,0.99742806,701.3503418,588.260376,0.995344222,,,,
26,697.2125854,573.8980713,0.996758878,701.3683472,588.2177124,0.994355202,,,,
27,697.2113037,573.8995972,0.996831775,701.3503418,588.2177124,0.99458468,,,,
28,697.1787109,574.0310059,0.996803343,701.3683472,588.2177124,0.994591236,,,,
29,697.2113037,573.9876099,0.997443438,701.3930664,588.3689575,0.995725214,,,,
30,697.2113037,573.9876099,0.996861994,701.3930664,588.3689575,0.995135963,,,,
31,697.3266602,574.2009277,0.996871829,701.3619995,588.3710327,0.995237827,,,,
32,697.3266602,573.9876099,0.997044504,701.3619995,588.3689575,0.994796872,,,,
33,697.4561157,573.913147,0.996560991,701.3619995,588.3710327,0.995039523,,,,
34,697.3449707,573.913147,0.996587634,701.2868652,588.3710327,0.994643807,,,,
35,697.3449707,574.1897583,0.997113824,701.3619995,588.4106445,0.994711578,,,,
36,697.3449707,574.1897583,0.996641338,701.2359009,588.4616699,0.994664252,,,,
37,697.5230713,574.1897583,0.996936381,701.2359009,588.5423584,0.994693041,,,,
38,697.4488525,574.1897583,0.997144759,701.2359009,588.5769043,0.99513185,,,,
39,697.4488525,574.1015625,0.996920466,701.3136597,588.5769043,0.994947791,,,,
40,697.3657837,574.1015625,0.996666312,701.2470703,588.5939331,0.995229363,,,,
41,697.3657837,573.9118042,0.996844411,701.3136597,588.5769043,0.995141506,,,,
42,697.3657837,573.909729,0.996733904,701.3136597,588.5769043,0.995054483,,,,
43,697.3657837,573.9064941,0.997767925,701.2905884,588.5939331,0.995216489,,,,
44,697.4143066,573.710022,0.996807337,701.2724609,588.6002197,0.994910538,,,,
45,697.4143066,573.6373901,0.997667789,701.2724609,588.6194458,0.995536208,,,,
