indiv,vial.label,site,temp,units,graph,speed_adj,front.1,front.2,front.area,front.length,rear.1,rear.2,rear.area,rear.length,F-R Area,F-R L,F load,R load,Front Notes,Rear Notes,Key
33,"Siyeh Bend 1 8-06-19, 4 C",Siyeh,4,mm,graph,0.0935,7.555,0,7.555,5.755,7.731,0,7.731,4.952,1.023295831,0.860469157,1.312771503,1.561187399,Whole,Whole,
34,"Siyeh 2 7-31-19, 1 C",Siyeh,1,mm,graph,,5.84,0,5.84,5.208,,,,,,,1.121351767,,Whole,Destroyed,
35,"Reynolds 1 8-20-19, 4 C",Reynolds,4,mm,,,4.659,0,4.659,4.674,5.163,0,5.163,4.148,1.108177721,0.887462559,0.996790757,1.244696239,Whole,Whole,
36,"Siyeh 2 8-14-19, 1 C",Siyeh,1,mm,graph,,,,,,8.218,0,8.218,5.072,,,,1.620268139,Destroyed,Whole,
37,"Lunch 2 8-23-19, 1 C",Lunch,1,mm,graph,,5.729,0,5.729,5.064,3.235,2.721,5.956,4.269,1.039622971,0.843009479,1.131319115,0.757788709,Whole,Ripped in half. Added 2 sides together. Confident. ,
38,"Sexton Main 1 8-20-19, 4 C",Sexton,4,mm,graph,,8.736,0,8.736,6.096,9.374,0,9.374,5.388,1.073031136,0.883858268,1.433070866,1.739792131,Whole,Whole,
39,"Lunch 1 8-23-19, 1 C ",Lunch,1,mm,graph,,8.433,0,8.433,6.083,8.844,0,8.844,5.333,1.048737104,0.876705573,1.386322538,1.658353647,Whole,Whole,
40,"Unmarked Sexton 2 8-12-19, 1 C",Unmarked,1,mm,graph,,3.621,3.618,7.239,5.756,6.749,0,6.749,4.671,0.932311093,0.811501042,1.257644197,1.444872618,Ripped,Whole but crinkled. Rephoto?,
41,"Sexton Main 1 8-19-19, 1 C",Sexton,1,mm,graph,0.1761,6.061,0,6.061,5.348,,,,,,,1.133320868,,Wrinkled,Destroyed,
42,"Siyeh Bend 1 8-05-19, 1 C",Siyeh,1,mm,graph,,8.904,0,8.904,6.242,9.135,0,9.135,5.333,1.025943396,0.854373598,1.426465876,1.712919557,Whole,Whole,
43,"Sexton Main 2 8-09-19, 4 C",Sexton,4,mm,graph,,9.223,0,9.223,6.279,10.198,0,10.198,5.721,1.105713976,0.911132346,1.468864469,1.782555497,Whole,Whole but inconsequential rip near base. Easily filled,
44,"Reynolds 2 8-?-19, 4 C",Reynolds,4,mm,graph,,8.551,0,8.551,6.159,9.252,0,9.252,5.381,1.081978716,0.873680792,1.388374736,1.719383014,Whole,Whole but inconsequential rip near base. Easily filled,
45,"Reynolds 2 8-19-19, 4 C",Reynolds,4,mm,graph,,8.236,0,8.236,6.012,8.942,0,8.942,5.292,1.085721224,0.880239521,1.369926813,1.689720333,Whole,Whole,
46,"Siyeh Bend 1 8-05-19, 5 C",Siyeh,4,mm,graph,,9.04,0,9.04,6.276,9.21,,9.21,5.455,1.01880531,0.869184194,1.440407903,1.688359303,Whole,Whole but inconsequential rip near base. Easily filled,
